Designator,Mid X,Mid Y,Layer,Rotation
C1,-88.5952,-65.0518,bottom,270
C2,-81.534,-65.0518,bottom,270
C3,-88.6206,-54.9124,bottom,90
C4,-106.3752,-78.717,bottom,270
C5,-99.314,-78.74,bottom,270
C6,-110.236,-67.287,bottom,90
C7,-124.1552,-92.687,bottom,270
C8,-117.094,-92.733,bottom,270
C9,-124.1806,-84.1272,bottom,90
C10,-141.986,-106.68,bottom,270
C11,-134.874,-106.657,bottom,270
C12,-141.8844,-98.0972,bottom,90
C13,-133.4262,-76.74656,bottom,270
C14,-127.39346,-73.06056,bottom,180
C15,-87.9625,-70.485,bottom,180
C16,-85.883241,-89.9405,bottom,315
C17,-79.956272,-85.522214,bottom,315
C18,-79.237852,-86.240634,bottom,315
C19,-86.116728,-74.113894,bottom,45
C20,-85.39661,-73.397171,bottom,45
C21,-94.342643,-81.409256,bottom,315
C22,-95.084947,-80.683147,bottom,315
C23,-89.062252,-89.631777,bottom,45
C24,-89.780672,-90.350197,bottom,45
C25,-95.4786,-96.9772,bottom,0
C26,-95.481,-97.9932,bottom,0
C27,-104.013,-96.9264,bottom,0
C28,-104.013,-97.9424,bottom,0
C29,-99.314,-54.0385,bottom,0
C30,-99.314,-53.0225,bottom,0
C31,-128.778,-100.861,bottom,270
C32,-129.794,-100.861,bottom,270
C33,-88.5189,-107.1626,bottom,180
C34,-84.0741,-100.1014,bottom,180
C35,-106.6291,-107.188,bottom,180
C36,-102.1842,-100.1268,bottom,180
C37,-99.6696,-101.6672,bottom,90
C38,-81.5594,-101.6418,bottom,90
C39,-80.01,-105.4444,bottom,90
C40,-98.1202,-105.4444,bottom,90
C41,-109.1692,-101.6164,bottom,90
C42,-91.059,-101.6344,bottom,90
C43,-92.6084,-105.4444,bottom,90
C44,-110.7186,-105.419,bottom,90
C45,-83.133515,-73.612626,bottom,135
C46,-96.391047,-80.160447,bottom,315
C47,-84.7852,-91.8694,bottom,90
C48,-79.4766,-91.8948,bottom,270
C49,-79.1972,-79.0194,bottom,225
C50,-78.447947,-78.270053,bottom,225
C51,-138.814,-73.406,bottom,0
C52,-133.59384,-86.3376,bottom,270
C53,-81.56956,-61.68884,bottom,90
D5,-83.19018,-96.23044,bottom,180
D6,-80.2904,-126.746,bottom,0
D7,-80.1868,-136.9568,bottom,0
D8,-97.9668,-126.746,bottom,0
D9,-97.9668,-136.906,bottom,0
D10,-115.7976,-126.746,bottom,0
D11,-115.7468,-136.906,bottom,0
D12,-133.6284,-126.746,bottom,0
D13,-133.5776,-136.906,bottom,0
FB1,-134.3129,-73.406,bottom,0
HSE1,-82.126,-91.0962,bottom,180
Q1,-119.3775,-67.58,bottom,90
Q2,-126.9898,-67.58,bottom,90
Q3,-134.6098,-67.58,bottom,90
Q4,-142.24,-67.5734,bottom,90
Q5,-79.5815,-118.43,bottom,0
Q6,-79.5655,-130.048,bottom,0
Q7,-97.3295,-118.684,bottom,0
Q8,-97.3295,-130.109,bottom,0
Q9,-115.173,-118.872,bottom,0
Q10,-115.1095,-130.0505,bottom,0
Q11,-132.953,-118.872,bottom,0
Q12,-132.953,-129.987,bottom,0
R1,-87.5792,-65.047,bottom,90
R2,-86.5632,-65.047,bottom,270
R3,-83.566,-65.047,bottom,270
R4,-82.55,-65.047,bottom,90
R5,-86.5886,-54.9172,bottom,270
R6,-87.6046,-54.9172,bottom,270
R7,-105.3592,-78.717,bottom,90
R8,-104.3432,-78.717,bottom,270
R9,-101.346,-78.717,bottom,270
R10,-100.33,-78.717,bottom,90
R11,-107.696,-67.287,bottom,90
R12,-108.966,-67.287,bottom,270
R13,-123.1392,-92.687,bottom,90
R14,-122.1232,-92.687,bottom,270
R15,-119.126,-92.733,bottom,270
R16,-118.11,-92.733,bottom,90
R17,-122.1486,-84.1272,bottom,270
R18,-123.1646,-84.1272,bottom,270
R19,-140.97,-106.68,bottom,90
R20,-139.954,-106.68,bottom,270
R21,-136.906,-106.657,bottom,270
R22,-135.89,-106.657,bottom,90
R23,-139.954,-98.0972,bottom,90
R24,-140.9192,-98.0972,bottom,270
R25,-119.545,-70.104,bottom,180
R26,-106.6166,-53.3146,bottom,180
R27,-106.6039,-54.8767,bottom,180
R28,-106.6039,-56.4261,bottom,180
R29,-106.6039,-57.9882,bottom,180
R30,-106.6039,-59.5503,bottom,180
R31,-106.5912,-61.1251,bottom,180
R32,-106.5912,-62.6872,bottom,180
R33,-106.5912,-64.2493,bottom,180
R34,-127.165,-70.104,bottom,180
R35,-134.7598,-70.104,bottom,180
R36,-142.405,-70.104,bottom,180
R37,-129.4384,-108.1658,bottom,90
R38,-127.8763,-108.166,bottom,90
R39,-126.3142,-108.166,bottom,90
R40,-124.7648,-108.166,bottom,90
R41,-123.2154,-108.166,bottom,90
R42,-121.666,-108.166,bottom,90
R43,-120.1166,-108.166,bottom,90
R44,-118.5672,-108.166,bottom,90
R45,-80.2005,-142.151,bottom,90
R46,-97.9805,-142.2145,bottom,90
R47,-115.57,-142.24,bottom,90
R48,-133.477,-142.2145,bottom,90
R49,-79.4005,-124.46,bottom,0
R50,-82.1055,-120.739,bottom,90
R51,-79.337,-132.6515,bottom,0
R52,-82.1055,-130.848,bottom,90
R53,-97.117,-124.46,bottom,0
R54,-99.8855,-120.688,bottom,90
R55,-97.117,-132.715,bottom,0
R56,-99.8855,-130.9115,bottom,90
R57,-114.9605,-124.46,bottom,0
R58,-117.729,-120.7515,bottom,90
R59,-114.897,-132.6515,bottom,0
R60,-117.6655,-130.81,bottom,90
R61,-132.7405,-124.46,bottom,0
R62,-135.509,-120.688,bottom,90
R63,-132.753,-132.588,bottom,0
R64,-135.509,-130.772,bottom,90
R65,-96.3422,-102.0317,bottom,90
R66,-78.1558,-101.9809,bottom,90
R67,-97.8916,-102.0317,bottom,270
R68,-79.7306,-101.9809,bottom,270
R69,-78.1812,-105.0545,bottom,270
R70,-96.3422,-105.0799,bottom,270
R71,-81.788,-105.0545,bottom,90
R72,-99.8982,-105.0799,bottom,90
R73,-112.4966,-101.9809,bottom,90
R74,-94.3864,-102.0063,bottom,90
R75,-110.9472,-101.9809,bottom,270
R76,-92.837,-102.0063,bottom,270
R77,-94.3864,-105.0545,bottom,270
R78,-112.4966,-105.0545,bottom,270
R79,-90.8304,-105.0799,bottom,90
R80,-108.9406,-105.0545,bottom,90
R81,-80.09646,-96.22536,bottom,0
R82,-87.66556,-91.37664,bottom,270
