Designator,Quantity,Value,Footprint,LCSC Part #
"C1, C2, C4, C5, C7, C8, C10, C11, ",8,10nF,0402,C15195
"C3, C6, C9, C12, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C49, C50, C53, ",24,100nF,0402,C1525
"C13, C51, C52, ",3,10uF,1206,C13585
"C14, C15, ",2,10uF,0805,C15850
"C33, C34, C35, C36, ",4,100nF,0603,C14663
"C37, C38, C39, C40, C41, C42, C43, C44, ",8,2n2,0805,C28260
"C45, C46, ",2,2.2uF,0603,C23630
"C47, C48, ",2,12pF,0402,C1547
"D5, ",1,LED,0603,C72043
"D6, D7, D8, D9, D10, D11, D12, D13, ",8,1N4148W,SOD-123,C81598
"FB1, ",1,Ferrite_Bead_Small,0805,C1015
"HSE1, ",1,16MHz,SMD-3225_4P,C13738
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12, ",12,MMBT3904,SOT-23,C20526
"R1, R2, R3, R4, R7, R8, R9, R10, R13, R14, R15, R16, R19, R20, R21, R22, R82, R83, ",18,10k,0402,C25744
"R5, R11, R17, R23, ",4,4k7,0402,C25900
"R6, R12, R18, R24, R84, ",5,100,0402,C25076
"R25, R34, R35, R36, R50, R52, R54, R56, R58, R60, R62, R64, ",12,10k,0603,C25804
"R26, R27, R28, R29, R30, R31, R32, R33, R37, R38, R39, R40, R41, R42, R43, R44, ",16,390,0603,C23151
"R45, R46, R47, R48, ",4,1k,0603,C21190
"R49, R51, R53, R55, R57, R59, R61, R63, ",8,100k,0603,C25803
"R65, R66, R73, R74, ",4,50k,0603,C23196
"R67, R68, R75, R76, ",4,200k,0603,C25811
"R69, R70, R77, R78, ",4,33k,0603,C4216
"R71, R72, R79, R80, ",4,68k,6030,C23231
"R81, ",1,2k2,0603,C4190
"R85, R86, ",2,4k7,0603,C23162
"U2, U6, ",2,74HC595,SOIC-16_3.9x9.9_1.27P,C5947
"U7, ",1,AMS1117-3.3,SOT-223,C6186
"U8, U11, ",2,TL072,SOIC-8_3.9x4.9_1.27P,C6961
"U12, ",1,STM32F405RGTx,LQFP-64_10x10_P0.5P,C15742
